airline,negative_reason,sentiment_confidence,retweet_count,tweet_clean,tweet_created
US Airways,Late Flight,1.0,44,"5 hr flight delay and a delay when we land . Is that even real life ? Get me off this plane , I wanna go home 👠👠👠 (3 heel clicks)",2015-02-17 20:06:21 -0800
US Airways,Can't Tell,1.0,32,of course never again tho . Thanks for tweetin ur concern but not Doin anythin to fix what happened. I'll choose wiser next time,2015-02-17 20:50:56 -0800
Delta,Can't Tell,1.0,31,STOP. USING.THIS.WORD. IF. YOU'RE. A. COMPANY. RT : Our fleet's on fleek.,2015-02-23 10:30:29 -0800
United,Flight Booking Problems,1.0,5,What kind of hypocrisy is that? Only Cancelled Flightling tickets with bad exchange rate if in your advantage united,2015-02-17 14:26:28 -0800
American,Cancelled Flight,1.0,5,Cancelled Flight my flight saying it is cause of weather condition when it was the only flight that was Cancelled Flight,2015-02-23 19:34:51 -0800
Southwest,Can't Tell,1.0,4,you guys just rip me off if I could Cancelled Flight every flight I had booked for my employees I would Buyer beware,2015-02-20 14:28:36 -0800
Southwest,Customer Service Issue,1.0,4,very poor customer service thru out each of my cxl flights😔 I should've flew,2015-02-17 15:07:55 -0800
US Airways,Can't Tell,1.0,4,you denied a mom her AM flight because she NEEDED her breast pumping parts on a full flight? Please FIX this ASAP!! freeflight,2015-02-23 06:04:30 -0800
US Airways,Damaged Luggage,1.0,4,team is back home but luggage all wet and partly damaged - Not happy! blizzard,2015-02-18 13:01:48 -0800
American,Can't Tell,1.0,4,this is the biggest joke I've ever seen and will be telling everyone never to use you guys cause you are a joke,2015-02-23 19:39:51 -0800
American,Customer Service Issue,1.0,4,Pay for my accommodations when you are the ones Cancelled Flightling it for no reason and I know your saying (lying) it cause of weather,2015-02-23 19:38:58 -0800
American,Customer Service Issue,1.0,4,airport and 2 extra nights for hotels and not once have I heard of anything from your embarrassing airline saying that you will,2015-02-23 19:37:24 -0800
American,Cancelled Flight,1.0,4,This is getting a bit ridiculous when and you have made me miss 2 full days off work and had to pay for cabs back and forth,2015-02-23 19:35:55 -0800
American,Cancelled Flight,1.0,4,Again you guys are a huge joke and Cancelled Flight your flight for no reason. This is the 3rd time in one trip for me that you have,2015-02-23 19:33:49 -0800
United,Flight Attendant Complaints,1.0,3,is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.,2015-02-23 12:40:48 -0800
United,Customer Service Issue,1.0,3,. Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.,2015-02-21 18:27:05 -0800
United,Bad Flight,1.0,3,"you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! Do the right thing. But we both know you won't",2015-02-18 19:10:00 -0800
United,Can't Tell,1.0,3,"you're missin the point! There was no ""weather"". You're lying! Seats was broken. But u claim ""weather"" to get out of hotels. Classy",2015-02-18 19:04:19 -0800
Southwest,Can't Tell,1.0,3,Gary Kelly should be ashamed of himself running a corporation in this way,2015-02-20 14:30:31 -0800
Southwest,Cancelled Flight,1.0,3,I have had 4 flights Cancelled Flightled through yall!!!! Im sick of it 😠😠,2015-02-17 15:08:46 -0800
Delta,Can't Tell,1.0,3,No no no bad airline bad! *bops you with newspaper* “ : We hope you're still our bae! ”,2015-02-23 11:04:46 -0800
US Airways,Bad Flight,1.0,3,"My family, friends and colleagues will NEVER fly USAir again. Bad weather happens. The good airlines seem to communicate better.",2015-02-22 07:41:54 -0800
American,Customer Service Issue,1.0,3,". No. I watched these bags be abandoned at depart gate. Watched for >40 mins until owner returned, 20+ mins after I reported",2015-02-23 16:56:04 -0800
American,Can't Tell,1.0,3,is the company from hell with NO consideration for customers that give it hundreds of millions of dollars per year SMH,2015-02-23 15:24:30 -0800
United,Can't Tell,1.0,2,wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!,2015-02-24 09:09:00 -0800
